,Date,High,Low,Open,Close,Volume,Adj Close,daily_return
0,2020-12-31,3282.919921875,3241.199951171875,3275.0,3256.929931640625,2957200,3256.929931640625,
1,2021-01-04,3272.0,3144.02001953125,3270.0,3186.6298828125,4411400,3186.6298828125,-0.02158475936039328
2,2021-01-05,3223.3798828125,3165.06005859375,3166.010009765625,3218.510009765625,2655500,3218.510009765625,0.01000433941986012
3,2021-01-06,3197.510009765625,3131.159912109375,3146.47998046875,3138.3798828125,4394800,3138.3798828125,-0.02489665301956301
4,2021-01-07,3208.5400390625,3155.0,3157.0,3162.159912109375,3514500,3162.159912109375,0.007577167259804174
5,2021-01-08,3190.639892578125,3142.199951171875,3180.0,3182.699951171875,3537700,3182.699951171875,0.006495572530611948
6,2021-01-11,3156.3798828125,3110.0,3148.010009765625,3114.2099609375,3683400,3114.2099609375,-0.021519461867323342
7,2021-01-12,3142.139892578125,3086.0,3120.0,3120.830078125,3514600,3120.830078125,0.0021257774108163208
8,2021-01-13,3189.949951171875,3122.080078125,3128.43994140625,3165.889892578125,3321200,3165.889892578125,0.014438406874172749
9,2021-01-14,3178.0,3120.590087890625,3167.52001953125,3127.469970703125,3070900,3127.469970703125,-0.012135583731155308
10,2021-01-15,3142.550048828125,3095.169921875,3123.02001953125,3104.25,4244000,3104.25,-0.007424522352137752
11,2021-01-19,3145.0,3096.0,3107.0,3120.760009765625,3305100,3120.760009765625,0.005318518085084989
12,2021-01-20,3279.800048828125,3175.0,3181.989990234375,3263.3798828125,5309800,3263.3798828125,0.04570036548808054
13,2021-01-21,3348.550048828125,3289.570068359375,3293.0,3306.989990234375,4936100,3306.989990234375,0.013363478659520922
14,2021-01-22,3321.909912109375,3283.159912109375,3304.31005859375,3292.22998046875,2821900,3292.22998046875,-0.004463276214688228
15,2021-01-25,3363.889892578125,3243.14990234375,3328.5,3294.0,3749800,3294.0,0.0005376354452000243
16,2021-01-26,3338.0,3282.8701171875,3296.360107421875,3326.1298828125,2955200,3326.1298828125,0.009754062784608442
17,2021-01-27,3346.52001953125,3207.080078125,3341.489990234375,3232.580078125,4660200,3232.580078125,-0.028125722080460824
18,2021-01-28,3301.679931640625,3228.68994140625,3235.0400390625,3237.6201171875,3149200,3237.6201171875,0.0015591381932364978
19,2021-01-29,3236.989990234375,3184.550048828125,3230.0,3206.199951171875,4293600,3206.199951171875,-0.009704710521418303
20,2021-02-01,3350.260009765625,3235.030029296875,3242.360107421875,3342.8798828125,4160200,3342.8798828125,0.042629883888142484
21,2021-02-02,3427.739990234375,3361.1298828125,3380.0,3380.0,7098600,3380.0,0.011104233023254695
22,2021-02-03,3434.0,3308.6201171875,3425.010009765625,3312.530029296875,7088800,3312.530029296875,-0.01996152979382393
23,2021-02-04,3347.0,3277.75,3330.0,3331.0,3670700,3331.0,0.0055757896652322
24,2021-02-05,3377.0,3302.7099609375,3319.0,3352.14990234375,3620800,3352.14990234375,0.006349415293830596
25,2021-02-08,3365.0,3304.0,3358.5,3322.93994140625,3257400,3322.93994140625,-0.008713799140389611
26,2021-02-09,3338.0,3297.840087890625,3312.489990234375,3305.0,2203500,3305.0,-0.005398816025142472
27,2021-02-10,3317.949951171875,3254.0,3314.0,3286.580078125,3151600,3286.580078125,-0.005573350037821445
28,2021-02-11,3292.0,3248.06005859375,3292.0,3262.1298828125,2301400,3262.1298828125,-0.007439403492778718
29,2021-02-12,3280.25,3233.31005859375,3250.0,3277.7099609375,2335300,3277.7099609375,0.00477604469616244
30,2021-02-16,3308.300048828125,3253.590087890625,3254.050048828125,3268.949951171875,2574700,3268.949951171875,-0.002672600648020551
31,2021-02-17,3320.909912109375,3259.5,3263.60009765625,3308.639892578125,3297500,3308.639892578125,0.012141495586991624
32,2021-02-18,3338.0,3273.93994140625,3282.419921875,3328.22998046875,3027400,3328.22998046875,0.0059208885000054945
33,2021-02-19,3333.5,3245.75,3328.22998046875,3249.89990234375,4305200,3249.89990234375,-0.023535055745747435
34,2021-02-22,3232.320068359375,3172.260009765625,3208.1298828125,3180.739990234375,3515700,3180.739990234375,-0.02128062838473843
35,2021-02-23,3204.72998046875,3093.60009765625,3127.030029296875,3194.5,4677200,3194.5,0.004326040420742139
36,2021-02-24,3171.22998046875,3125.3798828125,3166.75,3159.530029296875,3011300,3159.530029296875,-0.01094693088218035
37,2021-02-25,3178.260009765625,3047.760009765625,3136.739990234375,3057.159912109375,4533800,3057.159912109375,-0.03240042545513688
38,2021-02-26,3122.43994140625,3036.699951171875,3095.199951171875,3092.929931640625,4275900,3092.929931640625,0.011700408405057594
39,2021-03-01,3149.56005859375,3097.989990234375,3127.889892578125,3146.139892578125,2729100,3146.139892578125,0.01720373953291432
40,2021-03-02,3163.52001953125,3087.1201171875,3143.469970703125,3094.530029296875,2595800,3094.530029296875,-0.016404185777943225
41,2021-03-03,3107.780029296875,2995.0,3081.179931640625,3005.0,3988700,3005.0,-0.02893170479822993
42,2021-03-04,3058.1298828125,2945.429931640625,3012.0,2977.570068359375,5481600,2977.570068359375,-0.00912809705178863
43,2021-03-05,3009.0,2881.0,3005.0,3000.4599609375,5388600,3000.4599609375,0.007687440447282867
44,2021-03-08,3064.590087890625,2951.31005859375,3015.0,2951.949951171875,4185000,2951.949951171875,-0.016167524445308
45,2021-03-09,3090.9599609375,3005.14990234375,3017.989990234375,3062.85009765625,4030000,3062.85009765625,0.03756843724276204
46,2021-03-10,3116.4599609375,3030.050048828125,3098.449951171875,3057.639892578125,3012500,3057.639892578125,-0.0017010969887530925
47,2021-03-11,3131.780029296875,3082.929931640625,3104.010009765625,3113.590087890625,2776400,3113.590087890625,0.018298490756975427
48,2021-03-12,3098.97998046875,3045.5,3075.0,3089.489990234375,2421900,3089.489990234375,-0.007740292387870884
49,2021-03-15,3082.239990234375,3032.090087890625,3074.570068359375,3081.679931640625,2913600,3081.679931640625,-0.0025279442945072006
50,2021-03-16,3128.909912109375,3075.860107421875,3104.969970703125,3091.860107421875,2538800,3091.860107421875,0.0033034500684925305
51,2021-03-17,3173.050048828125,3070.219970703125,3073.219970703125,3135.72998046875,3118600,3135.72998046875,0.014188828576547685
52,2021-03-18,3116.6298828125,3025.0,3101.0,3027.989990234375,3649600,3027.989990234375,-0.03435882263633849
53,2021-03-19,3077.2900390625,3016.6298828125,3029.22998046875,3074.9599609375,4625400,3074.9599609375,0.015511930638677285
54,2021-03-22,3126.580078125,3060.050048828125,3067.85009765625,3110.8701171875,2902200,3110.8701171875,0.011678251654064331
55,2021-03-23,3182.0,3120.85009765625,3127.0,3137.5,3817300,3137.5,0.00856026828808143
56,2021-03-24,3160.31005859375,3085.14990234375,3151.0400390625,3087.070068359375,2959000,3087.070068359375,-0.016073284985059777
